price,bathrooms,bedrooms,listing_type,area_sqft,zip_code
495000.0,1.0,2.0,4,672.0,92105
1699950.0,3.0,4.0,4,1676.0,95124
580000.0,2.0,3.0,4,1439.0,92027
679950.0,1.0,2.0,4,800.0,95112
549900.0,2.0,2.0,1,855.0,92104
967900.0,2.0,2.0,1,1324.0,92101
160000.0,1.0,1.0,3,379.0,92024
779000.0,3.0,2.0,1,1282.0,92101
789000.0,4.0,4.0,4,1068.0,95110
1550000.0,3.0,4.0,4,2465.0,92107
2975000.0,3.0,4.0,0,2835.0,92024
2590000.0,4.0,5.0,4,3609.0,92130
2695000.0,5.0,5.0,4,3223.0,92110
799800.0,2.0,2.0,1,1421.0,95112
1385000.0,3.0,4.0,4,2291.0,95121
1345000.0,2.0,2.0,4,1396.0,92037
659000.0,2.0,2.0,1,1470.0,92129
924900.0,2.0,2.0,4,1276.0,92127
1020000.0,2.0,3.0,4,1860.0,95111
568000.0,2.0,2.0,1,1024.0,95122
989000.0,3.0,3.0,4,1947.0,92011
219000.0,1.0,1.0,4,378.0,92104
819000.0,3.0,5.0,4,1955.0,92105
835000.0,3.0,3.0,8,1906.0,92124
1195000.0,2.0,3.0,4,1964.0,95112
1700000.0,2.0,3.0,4,1655.0,92014
827300.0,3.0,5.0,4,2021.0,92154
875000.0,3.0,3.0,4,1661.0,92009
349900.0,2.0,2.0,1,954.0,92025
416000.0,1.0,1.0,1,658.0,95128
885000.0,3.0,2.0,8,1365.0,95126
514900.0,2.0,2.0,1,949.0,92102
2690100.0,5.0,5.0,4,5481.0,92127
750000.0,2.0,3.0,4,1098.0,92119
1568000.0,2.0,4.0,4,1655.0,95135
425000.0,1.0,1.0,1,814.0,92128
849999.0,1.0,3.0,4,900.0,95127
649900.0,2.0,3.0,4,1475.0,92139
170000.0,1.0,1.0,3,516.0,95125
655000.0,2.0,3.0,4,1014.0,92119
1195000.0,3.0,3.0,0,2984.0,92026
4750000.0,3.0,4.0,1,2465.0,92008
1275000.0,2.0,3.0,4,2003.0,92131
1500000.0,3.0,4.0,4,1932.0,95148
920000.0,3.0,3.0,1,1093.0,92106
499900.0,2.0,2.0,1,881.0,92129
1489000.0,3.0,4.0,4,2210.0,95133
1099000.0,3.0,4.0,4,2038.0,92119
729999.0,3.0,3.0,8,1314.0,95122
999000.0,2.0,3.0,4,1208.0,95123
668000.0,1.0,1.0,1,899.0,95113
69900.0,1.0,1.0,3,756.0,92027
719000.0,1.0,3.0,4,1000.0,92114
599999.0,1.0,2.0,8,903.0,95124
774999.0,2.0,2.0,4,1008.0,92126
569000.0,2.0,4.0,4,1310.0,92114
2499000.0,3.0,4.0,1,1999.0,92101
1275000.0,2.0,4.0,4,2124.0,92119
1675000.0,3.0,4.0,4,2075.0,92130
