,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,listing_type
2654,1698300.0,4.0,4.0,3300.0 ,1831800.0,5499.0,House for sale
2660,4750000.0,3.0,4.0,2465.0 ,4619100.0,15307.0,Condo for sale
2662,849000.0,4.0,4.0,2400.0 ,869900.0,3639.0,House for sale
2669,1679000.0,3.0,4.0,2887.0 ,1685700.0,6409.0,House for sale
2672,4200000.0,6.0,6.0,5066.0 ,4178400.0,10203.0,House for sale
2676,1249950.0,3.0,3.0,1740.0 ,1289839.0,4136.0,House for sale
2683,3250000.0,4.0,5.0,3000.0 ,3556800.0,11917.0,House for sale
2690,598900.0,2.0,2.0,1114.0 ,618300.0,2600.0,Condo for sale
2691,599900.0,3.0,2.0,1618.0 ,609800.0,3345.0,Townhouse for sale
2692,625000.0,2.0,3.0,1040.0 ,636600.0,2781.0,House for sale
2702,975000.0,3.0,4.0,1620.0 ,1004100.0,3839.0,House for sale
2706,745000.0,2.0,4.0,1568.0 ,761278.0,3200.0,House for sale
2708,3299000.0,6.0,5.0,4812.0 ,3216900.0,12240.0,House for sale
2715,475000.0,2.0,1.0,756.0 ,488100.0,1935.0,House for sale
2716,1050000.0,3.0,4.0,2472.0 ,1048900.0,4227.0,House for sale
2734,424900.0,1.0,1.0,756.0 ,432200.0,2314.0,House for sale
2735,1199000.0,3.0,3.0,2417.0 ,1245900.0,4087.0,House for sale
2739,549750.0,2.0,2.0,1037.0 ,549800.0,2864.0,Condo for sale
2742,950000.0,2.0,3.0,1635.0 ,970800.0,3611.0,House for sale
2746,947000.0,2.0,4.0,1350.0 ,975600.0,3495.0,House for sale
2755,529000.0,2.0,2.0,783.0 ,472700.0,2695.0,Condo for sale
2758,1245000.0,1.0,1.0,812.0 ,1257900.0,3949.0,Condo for sale
2759,839000.0,2.0,3.0,1200.0 ,849400.0,3397.0,House for sale
2762,1679000.0,3.0,4.0,2150.0 ,1804142.0,4300.0,House for sale
2763,334000.0,2.0,3.0,1344.0 ,343800.0,2894.0,Home for sale
2764,500000.0,2.0,3.0,1568.0 ,512800.0,3198.0,House for sale
2766,1599000.0,2.0,3.0,1490.0 ,1691978.0,3763.0,House for sale
2769,1750000.0,3.0,5.0,3084.0 ,1940100.0,5858.0,House for sale
2773,1150000.0,4.0,5.0,3012.0 ,1026300.0,4600.0,House for sale
2774,574000.0,2.0,4.0,1487.0 ,583900.0,3325.0,House for sale
2781,999900.0,2.0,3.0,1200.0 ,1091500.0,3391.0,House for sale
